,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
73,330,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5487,,500.0,527.0,671.0,526.0,225.17,214.84,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
74,331,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5503,,500.0,527.0,669.0,524.0,225.16,214.85,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
75,332,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5520,,500.0,527.0,667.0,524.0,225.16,214.82,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
76,333,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5537,,,,711.0,533.0,225.36,214.68,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
77,334,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5553,,,,813.0,546.0,225.77,214.61,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
78,335,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5570,,,,775.0,540.0,225.8,214.65,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
79,336,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5586,,,,796.0,543.0,225.78,214.59,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
80,337,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5603,,623.0,540.0,796.0,546.0,225.79,214.65,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
81,338,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5620,,623.0,540.0,794.0,542.0,225.79,214.65,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
82,339,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5636,,623.0,540.0,802.0,548.0,225.81,214.65,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
83,340,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5653,,623.0,540.0,795.0,543.0,225.83,214.67,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
84,341,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5670,,623.0,540.0,791.0,536.0,225.87,214.67,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
85,342,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5686,,623.0,540.0,793.0,538.0,225.91,214.64,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
86,343,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5703,,623.0,540.0,795.0,537.0,225.94,214.61,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
87,344,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5720,,623.0,540.0,789.0,536.0,225.95,214.63,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
88,345,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5736,,623.0,540.0,792.0,539.0,225.96,214.63,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
89,346,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5753,,623.0,540.0,789.0,536.0,225.95,214.63,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
90,347,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5770,,,,708.0,628.0,225.66,214.47,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
91,348,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5786,,,,640.0,672.0,225.31,214.23,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
